dataset,source,date,resolution,crs,processing,notes
terrain_features,"Derived from melamchi_dem_30m.tif, reprojected to melamchi_dem_30m_utm45.tif",2026-09-19,"30 m DEM (UTM), sampled to grid cell centroids",EPSG:32645,"DEM reprojected EPSG:4326 -> EPSG:32645 at 30 m (bilinear); richdem: FillDepressions, TerrainAttribute(slope/aspect/curvature), FlowAccumulation(D8); river network = flow_acc >= 1000; distance_to_river = Euclidean distance transform to nearest river cell (m); river_gradient = slope (deg) at nearest river cell (proxy, not true channel gradient)","River network is a flow-accumulation proxy, not a mapped river layer - cross-check distance_to_river against satellite imagery before trusting it. 134731 river cells identified. Earlier version computed slope/curvature on a degree-based DEM and was wrong; fixed by reprojecting before richdem."
glacial_lake_distance_area,D:\TerraSentinel-Nepal\data\raw\glacial_lakes\glacial_lakes_2015.shp,2026-09-19,"polygon inventory, imagery year: 2015; area from polygon geometry (m2)",EPSG:4326,sjoin_nearest distance (m) from cell centroid to nearest lake polygon; area of that lake,"ICIMOD RDS: Glacial Lakes of Nepal 2011 (Landsat 2005/06, doi 10.26066/rds.20831); Glacial lakes in the Koshi, Gandaki and Karnali river basins of Nepal, TAR China and India (Landsat 2015-16, doi 10.26066/RDS.1971946); CC BY 4.0"
glacial_lake_area_change,D:\TerraSentinel-Nepal\data\raw\glacial_lakes\glacial_lakes_2005.shp (2005) vs D:\TerraSentinel-Nepal\data\raw\glacial_lakes\glacial_lakes_2015.shp (2015),2026-09-19,"polygon inventory, two imagery years",EPSG:4326,"% area change per 2015 lake, matched to 2005 lakes by polygon overlap (tolerance 50 m); merged/split lakes compared as a group (sum of areas); NaN where no 2005 lake overlaps. Each cell takes the value of its nearest 2015 lake. The two inventories use different imagery and mapping methods, so some change may be mapping artefact.","ICIMOD RDS: Glacial Lakes of Nepal 2011 (Landsat 2005/06, doi 10.26066/rds.20831); Glacial lakes in the Koshi, Gandaki and Karnali river basins of Nepal, TAR China and India (Landsat 2015-16, doi 10.26066/RDS.1971946); CC BY 4.0"
historical_hazards,N/A,2026-09-19,N/A,N/A,SKIPPED,Not included in feature table — No landslide inventory under data/raw/hazards/ (expected historical_landslides.shp/.geojson/.csv). Download a dated one and re-run.
distance_to_landslide_dam,N/A,2026-09-19,N/A,N/A,SKIPPED,Not included in feature table — No landslide-dam inventory under data/raw/hazards/ (landslide_dams.*).
distance_to_landslide_dam,N/A,2026-09-19,N/A,N/A,SKIPPED,Not included in feature table — No landslide-dam inventory under data/raw/hazards/ (landslide_dams.*).
historical_landslide_features_and_label,D:\TerraSentinel-Nepal\data\raw\hazards\historical_landslides.csv,2026-09-19,"dated point inventory, per event",EPSG:4326,history = inventory records dated <= pre_window end; label = records dated after pre_window end up to post_window end; cell footprint 100 m square; density radius 5.0 km,"TODO: record actual source (e.g. NASA COOLR export, BIPAD Portal query, date range)"
distance_to_landslide_dam,N/A,2026-09-19,N/A,N/A,SKIPPED,Not included in feature table — No landslide-dam inventory under data/raw/hazards/ (landslide_dams.*).
historical_landslide_features_and_label,D:\TerraSentinel-Nepal\data\raw\hazards\historical_landslides.csv,2026-09-19,"dated point inventory, per event",EPSG:4326,history = inventory records dated <= pre_window end; label = records dated after pre_window end up to post_window end; cell footprint 100 m square; density radius 5.0 km,"TODO: record actual source (e.g. NASA COOLR export, BIPAD Portal query, date range)"
sentinel2_MELAMCHI_2021_post_window,N/A,2026-09-19,N/A,N/A,SKIPPED,Not included in feature table — No Sentinel-2 scene under 40% cloud cover found within 20 days of 2021-07-15
sentinel2_RASUWA_2026,N/A,2026-09-19,N/A,N/A,SKIPPED,Not included in feature table — RASUWA_2026 is in region 'rasuwa' but the grid covers 'melamchi' only; a scene there would not overlap the grid.
sentinel2_ndwi,Sentinel-2 L2A (Copernicus Data Space Ecosystem STAC),2026-09-19,"10m (B03, B08 native)","per-scene UTM (see individual scene metadata), sampled to grid in EPSG:4326","Least-cloudy scene within +/-20 days of each observation date (cloud cover < 40%), NDWI=(B03-B08)/(B03+B08), water mask NDWI > 0.0, zonal mean/area per grid cell",Some event/window combinations may be skipped if no clear scene was found — check metadata.csv skip entries.
sentinel2_MELAMCHI_2021_post_window,N/A,2026-09-19,N/A,N/A,SKIPPED,Not included in feature table — No Sentinel-2 scene under 40% cloud cover found within 20 days of 2021-07-15
sentinel2_RASUWA_2026,N/A,2026-09-19,N/A,N/A,SKIPPED,Not included in feature table — RASUWA_2026 is in region 'rasuwa' but the grid covers 'melamchi' only; a scene there would not overlap the grid.
sentinel2_ndwi,Sentinel-2 L2A (Copernicus Data Space Ecosystem STAC),2026-09-19,"10m (B03, B08 native)","per-scene UTM (see individual scene metadata), sampled to grid in EPSG:4326","Least-cloudy scene per tile within +/-20 days of each observation date, tiles combined to cover the grid (cloud cover < 40%), NDWI=(B03-B08)/(B03+B08), water mask NDWI > 0.0, zonal mean/area per grid cell",Some event/window combinations may be skipped if no clear scene was found — check metadata.csv skip entries.
sentinel2_RASUWA_2026,N/A,2026-09-19,N/A,N/A,SKIPPED,Not included in feature table — RASUWA_2026 is in region 'rasuwa' but the grid covers 'melamchi' only; a scene there would not overlap the grid.
sentinel2_ndwi,Sentinel-2 L2A (Copernicus Data Space Ecosystem STAC),2026-09-19,"10m (B03, B08 native)","per-scene UTM (see individual scene metadata), sampled to grid in EPSG:4326","Per tile, up to 4 least-cloudy scenes (< 60% scene cloud) per window; pre scenes not later than the window end, post scenes not earlier than the window start. Pixels with SCL class in [0, 1, 2, 3, 7, 8, 9, 10, 11] (cloud, shadow, cirrus, snow/ice, no data) removed; NDWI=(B03-B08)/(B03+B08) per clear pixel; per-pixel median composite; water mask NDWI > 0.2; per 100 m cell mean/area only if >= 80% of pixels clear; date = window end, scene_dates = acquisition dates used",Some event/window combinations may be skipped if no clear scene was found — check metadata.csv skip entries.
sentinel2_RASUWA_2026,N/A,2026-09-19,N/A,N/A,SKIPPED,Not included in feature table — RASUWA_2026 is in region 'rasuwa' but the grid covers 'melamchi' only; a scene there would not overlap the grid.
sentinel2_ndwi,Sentinel-2 L2A (Copernicus Data Space Ecosystem STAC),2026-09-19,"10m (B03, B08 native)","per-scene UTM (see individual scene metadata), sampled to grid in EPSG:4326","Per tile, up to 4 least-cloudy scenes (< 60% scene cloud) per window; pre scenes not later than the window end, post scenes not earlier than the window start. Pixels with SCL class in [0, 1, 2, 3, 7, 8, 9, 10, 11] (cloud, shadow, cirrus, snow/ice, no data) removed; NDWI=(B03-B08)/(B03+B08) per clear pixel; per-pixel median composite; water mask NDWI > 0.2; per 100 m cell mean/area only if >= 80% of pixels clear; date = window end, scene_dates = acquisition dates used",Some event/window combinations may be skipped if no clear scene was found — check metadata.csv skip entries.
distance_to_landslide_dam,N/A,2026-09-19,N/A,N/A,SKIPPED,Not included in feature table — No landslide-dam inventory under data/raw/hazards/ (landslide_dams.*).
distance_to_historical_landslide,N/A,2026-09-19,N/A,N/A,SKIPPED,"Not included in feature table — Inventory locations are only accurate to km level (news-based), far coarser than the 100 m grid; the distance would be noise. Set INCLUDE_DISTANCE_FEATURE = True for a precise inventory."
historical_landslide_features_and_label,D:\TerraSentinel-Nepal\data\raw\hazards\historical_landslides.csv,2026-09-19,"dated point inventory, per event",EPSG:4326,history = inventory records dated <= pre_window end; label = records dated after pre_window end up to post_window end; cell footprint 100 m square; density radius 10.0 km; records kept only if location error <= 10.0 km,"TODO: record actual source (e.g. NASA COOLR export, BIPAD Portal query, date range)"
sentinel1_sar_change,"ASF HyP3 RTC (Sentinel-1 IW GRD, gamma0, power, 30 m, Copernicus DEM)",2026-09-19,30 m RTC averaged to 100 m grid cells,EPSG:32645,"Linear power averaged per cell (>= 80% valid pixels), then dB; sar_change = post_dB - pre_dB; scenes: {'MELAMCHI_2021': {'pre': '20210603', 'post': '20210627'}, 'MELAMCHI_2026': {'pre': '20260625', 'post': '20260707'}}",Supersedes fetch_s1.py (uncorrected GRD). Displacement not produced (needs InSAR).
displacement_and_displacement_change,N/A,2026-09-19,N/A,N/A,SKIPPED,Not included in feature table — True InSAR displacement needs SLC products and phase processing; not approximated from amplitude.
column_displacement,N/A,2026-09-19,N/A,N/A,SKIPPED,Not included in feature table — 'displacement' was never produced by any upstream table (region=melamchi)
column_displacement_change,N/A,2026-09-19,N/A,N/A,SKIPPED,Not included in feature table — 'displacement_change' was never produced by any upstream table (region=melamchi)
column_distance_to_historical_landslide,N/A,2026-09-19,N/A,N/A,SKIPPED,Not included in feature table — 'distance_to_historical_landslide' was never produced by any upstream table (region=melamchi)
column_distance_to_landslide_dam,N/A,2026-09-19,N/A,N/A,SKIPPED,Not included in feature table — 'distance_to_landslide_dam' was never produced by any upstream table (region=melamchi)
melamchi_features_final,"Merged from grid, terrain, rainfall, sentinel2, sentinel1, hazards, glacial_lakes outputs",2026-09-19,100m grid (see grid_cells metadata for source resolutions per layer),EPSG:4326 (latitude/longitude),Static layers left-joined on cell_id; per-event layers merged on cell_id+event_id(+window) and inner-joined to the grid; duplicate keys raise,"region=melamchi; 129740 rows, 38 columns; 29/33 brief columns present. See metadata.csv skip entries for the rest."
